doy,Month,temp,GPP,SmothedTEMP,SmothedMoisture
176,6,35,0,36.48640073,0.031428571
177,6,35,0,37.6909523,0.034285714
178,6,35,0,37.74267817,0.034285714
179,6,35,3.468352037,35.98053105,0.042857143
180,6,35,3.647100715,34.89135802,0.062857143
181,6,35,3.621902762,33.56046444,0.071428571
182,6,35,3.721489211,32.33489492,0.088571429
183,7,32,4.091338365,33.58462116,0.1
184,7,32,4.107649234,32.86944599,0.105714286
185,7,32,4.051812912,31.36082369,0.114285714
186,7,32,4.372677161,32.31563283,0.128571429
187,7,32,4.61220705,31.17662899,0.148571429
188,7,32,4.801331466,32.13518277,0.154285714
189,7,32,4.824148385,33.51622198,0.145714286
190,7,32,4.779703673,33.05553451,0.145714286
191,7,32,5.159493046,33.29679856,0.165714286
192,7,32,4.838080951,32.24022968,0.154285714
193,7,32,5.159304063,31.4817111,0.18
194,7,32,4.95792682,30.08007707,0.177142857
195,7,32,4.788602245,30.71964191,0.162857143
196,7,32,5.263348985,31.07071068,0.188571429
197,7,32,5.373128554,30.83920659,0.197142857
198,7,32,4.885608549,30.64778962,0.171428571
199,7,32,5.000732262,30.36541933,0.18
200,7,32,3.965285711,29.29861942,0.125714286
201,7,32,3.623979914,29.66305538,0.1
202,7,32,4.635885916,31.94007385,0.145714286
203,7,32,4.245399512,30.68491646,0.131428571
204,7,32,4.610923935,32.23097121,0.142857143
205,7,32,4.989557832,33.22284964,0.157142857
206,7,32,5.563695079,32.17109404,0.2
207,7,32,6.116225917,32.4887302,0.231428571
208,7,32,6.106144668,30.73217258,0.242857143
209,7,32,5.14638955,29.54833409,0.194285714
210,7,32,5.303402194,31.36717724,0.188571429
211,7,32,5.246837256,32.27836019,0.18
212,7,32,5.580921318,34.640609,0.182857143
213,8,35,5.123006761,36.16156642,0.142857143
214,8,35,4.553983696,34.07507441,0.125714286
215,8,35,4.692935072,35.55404392,0.12
216,8,35,4.686117186,35.00395002,0.125714286
217,8,35,4.37670093,34.69901533,0.108571429
218,8,35,4.144125984,35.77895937,0.085714286
219,8,35,3.987396518,34.40114148,0.088571429
220,8,35,3.774600867,34.00359305,0.077142857
221,8,35,3.861927804,34.20952564,0.082857143
222,8,35,3.638998077,32.91913649,0.077142857
223,8,35,3.895171799,34.08153821,0.085714286
224,8,35,4.126966748,34.54992351,0.094285714
225,8,35,4.052185034,33.42613287,0.1
226,8,35,4.063987995,34.27533396,0.094285714
227,8,35,4.182792251,32.80235077,0.111428571
228,8,35,3.953653272,32.60583671,0.1
229,8,35,4.371274358,34.51018496,0.111428571
230,8,35,4.372648813,34.8370311,0.108571429
231,8,35,4.248397752,35.29573026,0.097142857
232,8,35,4.351745638,34.95747448,0.105714286
233,8,35,4.137138196,33.90714396,0.1
234,8,35,4.335808036,35.06666804,0.102857143
235,8,35,4.51092813,34.86181197,0.117142857
236,8,35,4.377011836,36.62076643,0.094285714
237,8,35,4.611001161,37.86752087,0.097142857
238,8,35,4.59722851,37.39411749,0.1
239,8,35,4.669265247,37.31678722,0.105714286
240,8,35,4.322217984,35.02325004,0.102857143
241,8,35,3.689078281,31.61463058,0.091428571
242,8,35,3.39850604,30.89637215,0.08
243,8,35,3.482728581,31.39019136,0.08
244,9,30,3.602950239,32.3083346,0.08
245,9,30,3.881455331,33.85557737,0.085714286
246,9,30,3.626833307,33.93798131,0.068571429
247,9,30,3.440084681,33.21002896,0.065714286
248,9,30,3.357279112,33.19718622,0.06
249,9,30,3.2297612,33.14022681,0.051428571
250,9,30,3.475961159,33.06496598,0.068571429
251,9,30,3.216020593,31.52044434,0.062857143
252,9,30,3.358800736,31.43844966,0.071428571
253,9,30,3.448229765,32.02199972,0.074285714
254,9,30,3.251742928,30.9056747,0.071428571
255,9,30,3.376254162,31.47732259,0.074285714
256,9,30,3.277924516,30.78836651,0.071428571
257,9,30,2.975461098,30.96731264,0.054285714
258,9,30,2.814749914,30.596358,0.045714286
259,9,30,0,30.75794688,0.034285714
260,9,30,0,30.82797195,0.028571429
261,9,30,0,29.35845968,0.034285714
262,9,30,0,30.33954731,0.031428571
263,9,30,0,30.79865553,0.037142857
264,9,30,0,29.64322408,0.034285714
265,9,30,0,30.56910946,0.037142857
266,9,30,0,30.05620482,0.034285714
267,9,30,0,29.31249964,0.037142857
268,9,30,0,30.5489106,0.031428571
269,9,30,0,29.54989026,0.025714286
270,9,30,0,28.97048408,0.022857143
271,9,30,0,29.56732422,0.025714286
272,9,30,0,27.74310445,0.025714286
273,9,28,0,28.74322919,0.031428571
274,10,28,0,29.61619638,0.025714286
275,10,28,0,29.84976681,0.022857143
276,10,28,0,30.45623173,0.031428571
277,10,28,0,28.94625585,0.034285714
278,10,28,0,28.6849605,0.031428571
279,10,28,0,29.17360572,0.025714286
280,10,28,0,29.39783325,0.022857143
281,10,28,0,28.91595662,0.031428571
282,10,28,0,28.24595698,0.034285714
283,10,28,0,27.4543646,0.025714286
284,10,25,0,26.6546033,0.022857143
285,10,25,0,26.2462671,0.022857143
286,10,25,0,24.4702939,0.022857143
287,10,25,0,24.44479321,0.02
288,10,25,0,24.24552288,0.011428571
289,10,25,0,25.83526586,0.008571429
290,10,25,0,26.0954987,0.011428571
291,10,25,0,24.34494227,0.008571429
292,10,25,0,24.60687937,0.008571429
293,10,25,0,24.49532676,0.008571429
294,10,25,0,25.05622726,0.008571429
295,10,25,0,24.50437025,0.008571429
296,10,25,0,25.62578871,0.008571429
297,10,25,0,24.89716487,0.005714286
298,10,25,0,24.54220152,0.008571429
299,10,25,0,24.56139971,0.011428571
300,10,25,0,22.18788571,0.011428571
301,10,25,0,20.19151975,0.008571429
302,10,25,0,18.7401752,0.011428571
303,10,20,0,19.69788925,0.011428571
304,10,20,0,20.41604365,0.011428571
305,11,20,0,20.20817983,0.011428571
306,11,20,0,20.64489688,0.008571429
307,11,20,0,19.48060764,0.005714286
308,11,20,0,16.47474194,0.008571429
309,11,15,0,16.09718848,0.005714286
310,11,15,0,14.64714131,0.005714286
311,11,15,0,13.51733849,0.005714286
312,11,15,0,15.42077316,0.002857143
313,11,15,0,15.71649004,0.002857143
314,11,15,0,17.04677251,0.002857143
315,11,15,0,16.24221049,0.002857143
316,11,15,0,14.99897546,0.002857143
317,11,15,0,14.52217836,0.005714286
318,11,15,0,14.06576787,0.005714286
319,11,15,0,13.83215752,0.005714286
320,11,15,0,13.74996309,0.005714286
321,11,15,0,12.46746754,0.008571429
322,11,15,0,11.51313502,0.008571429
323,11,10,0,10.66773898,0.011428571
324,11,10,0,9.993104947,0.008571429
325,11,10,0,10.26182969,0.008571429
326,11,10,0,8.390904866,0.008571429
327,11,10,0,9.096165595,0.008571429
328,11,10,0,8.170492408,0.005714286
329,11,10,0,7.425338949,0.002857143
330,11,10,0,7.692295785,0.002857143
331,11,10,0,7.896911132,0.002857143
332,11,10,0,9.387153283,0.005714286
333,11,10,0,8.873399737,0.008571429
334,11,10,0,11.03222069,0.008571429
335,12,10,0,11.69842421,0.008571429
336,12,10,0,11.29886944,0.011428571
337,12,10,0,12.56122305,0.011428571
338,12,10,0,11.77960217,0.011428571
339,12,10,0,10.57704428,0.008571429
340,12,10,0,9.288299254,0.008571429
341,12,10,0,8.322124114,0.008571429
342,12,10,0,7.50591761,0.008571429
343,12,10,0,8.232323095,0.005714286
344,12,10,0,8.417363416,0.005714286
345,12,10,0,9.861144762,0.005714286
346,12,10,0,9.725348543,0.005714286
347,12,10,0,10.39082331,0.002857143
348,12,10,0,11.38693296,0.002857143
349,12,10,0,10.42731905,0.005714286
350,12,10,0,9.86386289,0.008571429
351,12,10,0,9.698237967,0.008571429
352,12,10,0,10.49404294,0.008571429
353,12,10,0,11.09855118,0.011428571
354,12,10,0,11.98964254,0.014285714
355,12,10,0,11.29067049,0.014285714
356,12,10,0,10.72198388,0.011428571
357,12,10,0,11.16583771,0.011428571
358,12,10,0,12.10142941,0.008571429
359,12,10,0,13.09557972,0.011428571
360,12,10,0,12.81842681,0.01
361,12,10,0,11.12458622,0.008
362,12,10,0,9.849478705,0.01
363,12,10,0,8.135842909,0.013333333
364,12,10,0,7.039718107,0.01
365,12,10,0,7.883939534,0.02
