Year,DOY,Port 1Soil Resp.um co2/m2/s,Port 1VWC,Port 1Soil Temp.deg C,Port 2soil respum co2/m2/s,Port 2VWC,Port 2Soil Temp.deg C,Port 3soil respum co2/m2/s,Port 3VWC,Port 3Soil Temp.deg C,Port 4Soil Resp.um co2/m2/s,Por4VWC,Port 4Soil Temp.deg C,Port 5soil respum co2/m2/s,Port 5VWC,Port 5Soil Temp.deg C,Port 6soil respum co2/m2/s,Port 6VWC,Port 6Soil Temp.deg C,Port 7soil respum co2/m2/s,Port 7VWC,Port 7Soil Temp.deg C
17,1.9759,NaN,0.26131,4.621,NaN,0.24659,5.87,NaN,0.25427,5.617,NaN,0.25881,4.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.0176,NaN,0.26081,4.082,NaN,0.24555,5.331,NaN,0.25224,5.144,NaN,0.25781,3.665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.0593,NaN,0.25982,3.668,NaN,0.24451,4.886,NaN,0.25121,4.766,NaN,0.2563,3.309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.1009,NaN,0.25931,3.281,NaN,0.24399,4.478,NaN,0.24968,4.417,NaN,0.25528,2.929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.1426,NaN,0.25831,2.958,NaN,0.24295,4.122,NaN,0.24814,4.117,NaN,0.25376,2.671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.1843,NaN,0.2573,2.68,NaN,0.24243,3.79,NaN,0.2471,3.839,NaN,0.25224,2.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.2258,NaN,0.2568,2.486,NaN,0.24139,3.538,NaN,0.24555,3.618,NaN,0.2507,2.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.2676,NaN,0.25579,2.301,NaN,0.24034,3.301,NaN,0.24399,3.405,NaN,0.24916,2.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.3093,NaN,0.25478,2.162,NaN,0.23981,3.108,NaN,0.24347,3.226,NaN,0.2471,1.906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.3509,NaN,0.25427,2.115,NaN,0.23929,NaN,NaN,0.24243,3.142,NaN,0.24659,1.922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.3928,NaN,0.25376,2.274,NaN,0.23929,NaN,0.11,0.24243,3.267,NaN,0.24968,2.331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.4343,NaN,0.2568,3.932,NaN,0.24139,3.285,0.17,0.24555,4.212,NaN,0.25427,4.839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.4759,NaN,0.25831,6.843,0.11,0.24399,4.612,0.19,0.24659,5.877,0.16,0.2573,7.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.5176,0.11,0.25881,8.944,0.17,0.24451,6.097,0.21,0.24659,7.25,0.25,0.25931,10.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.5593,0.17,0.25881,10.419,0.22,0.24347,7.231,0.25,0.2471,8.018,0.28,0.25982,12.309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.6009,0.16,0.25831,10.554,0.19,0.24243,8.159,0.23,0.24607,8.722,0.21,0.2568,11.516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.6426,0.19,0.2573,10.27,0.17,0.24139,8.894,0.24,0.24503,9.064,0.17,0.25478,10.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.6842,0.18,0.25579,9.777,0.2,0.23981,9.001,0.27,0.24399,8.992,0.19,0.25224,9.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.7259,0.18,0.25478,9.011,0.19,0.23876,8.721,0.21,0.24243,8.551,NaN,0.2507,8.701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.7676,NaN,0.25376,7.918,0.15,0.23718,8.025,0.22,0.24086,7.745,NaN,0.24916,7.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.8093,0.13,0.25325,7.309,0.14,0.23665,7.519,0.18,0.24034,7.289,NaN,0.24814,7.166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.8509,0.19,0.25224,6.771,0.16,0.23559,7.074,0.17,0.23929,6.833,NaN,0.24659,6.746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.8926,0.13,0.25224,6.439,0.14,0.23612,6.782,0.16,0.23876,6.571,NaN,0.24555,6.493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.9343,0.15,0.25173,6.47,NaN,0.23559,6.754,0.16,0.23824,6.541,NaN,0.24555,6.459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2.976,0.1,0.25121,5.891,NaN,0.234,6.422,0.13,0.23718,6.102,NaN,0.24399,5.622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.0176,0.1,0.25019,5.218,NaN,0.234,5.908,0.13,0.23612,5.642,NaN,0.24347,5.009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.0593,NaN,0.24968,4.694,0.11,0.23293,5.455,NaN,0.23506,5.195,NaN,0.24243,4.529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.1009,NaN,0.24968,4.275,NaN,0.23293,5.07,0.13,0.234,4.827,NaN,0.24139,4.151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.1426,NaN,0.24865,3.949,NaN,0.23293,4.768,0.13,0.234,4.601,NaN,0.24086,3.819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.1843,NaN,0.24814,3.652,NaN,0.23133,4.497,0.13,0.23293,4.358,NaN,0.24034,3.552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.2259,NaN,0.24762,3.381,NaN,0.23133,4.248,NaN,0.2324,4.135,NaN,0.23981,3.268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.2676,NaN,0.24762,3.142,NaN,0.23133,4.026,NaN,0.2324,3.943,NaN,0.23981,3.036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.3093,NaN,0.24762,2.91,NaN,0.23133,3.822,0.11,0.23187,3.767,NaN,0.23929,2.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.351,NaN,0.2471,2.882,NaN,0.2308,3.712,NaN,0.2308,3.714,NaN,0.23929,2.997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.3926,0.14,0.24814,3.591,0.13,0.23133,3.967,0.19,0.23133,4.193,0.11,0.24034,4.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.4343,0.13,0.24865,5.435,0.13,0.23293,4.712,0.22,0.2324,5.413,0.21,0.24295,6.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.4759,0.22,0.24968,7.742,0.18,0.23453,6.035,0.27,0.23347,6.904,0.28,0.24503,8.666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.5176,0.23,0.25121,10.138,0.24,0.23559,7.463,0.37,0.23506,8.31,0.3,0.24814,10.842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.5592,0.33,0.25173,11.169,0.34,0.23453,8.739,0.41,0.23453,9.204,0.44,0.24916,12.844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.6009,0.41,0.25121,11.827,0.38,0.234,9.667,0.51,0.23453,10,0.46,0.24968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.6426,0.39,0.24968,10.974,0.34,0.23293,10.181,0.4,0.23293,10.316,0.34,0.24916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.7259,0.32,0.24814,10.314,0.31,0.22972,10.128,0.36,0.23133,9.787,0.2,0.24399,10.863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.7676,0.34,0.24762,9.633,0.28,0.22865,9.689,0.32,0.23026,9.268,0.18,0.24295,10.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.8093,0.3,0.2471,9.21,0.26,0.22865,9.368,0.32,0.22972,8.913,0.15,0.24139,9.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.8509,0.27,0.24659,8.886,0.28,0.22757,9.113,0.36,0.22919,8.64,0.14,0.24086,9.181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.8926,0.27,0.24555,8.636,0.25,0.22757,8.894,0.35,0.22865,8.431,0.13,0.23981,8.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.9342,0.28,0.24555,8.476,0.25,0.22703,8.758,0.33,0.22811,8.302,0.12,0.23929,8.783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,3.9759,0.25,0.24503,8.286,0.25,0.22595,8.627,0.29,0.22757,8.176,0.12,0.23824,8.554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.0176,0.25,0.24503,8.08,0.23,0.22541,8.447,0.27,0.22703,8.015,NaN,0.23824,8.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.0593,0.26,0.24399,7.889,0.24,0.22541,8.273,0.27,0.22649,7.86,0.1,0.23718,8.049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.1009,0.28,0.24399,7.687,0.3,0.22541,8.08,0.29,0.22595,7.705,0.1,0.23665,7.889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.1426,0.28,0.24347,7.452,0.21,0.22432,7.908,0.26,0.22595,7.528,NaN,0.23665,7.577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.1843,0.25,0.24347,7.287,0.24,0.22432,7.741,0.26,0.22487,7.383,NaN,0.23559,7.311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.2259,0.21,0.24243,6.575,0.19,0.22378,7.284,0.24,0.22432,6.892,NaN,0.23453,6.512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.2676,0.21,0.24243,5.945,0.18,0.22269,6.762,0.22,0.22323,6.393,NaN,0.234,5.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.3093,0.18,0.24139,5.411,0.2,0.22214,6.287,0.21,0.22323,5.953,NaN,0.23293,5.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.351,0.21,0.24139,5.106,0.18,0.2216,5.94,0.22,0.22269,5.702,NaN,0.23293,5.382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.3926,0.23,0.24139,5.542,0.2,0.22214,5.977,0.28,0.22269,6.045,0.15,0.234,6.216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.4343,0.29,0.24139,7.418,0.23,0.22323,6.419,0.34,0.22378,7.182,0.27,0.23612,8.286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.4759,0.35,0.24295,9.985,0.29,0.22487,7.528,0.51,0.22378,8.565,0.35,0.23981,10.845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.5176,0.43,0.24503,11.974,0.41,0.22649,8.992,0.59,0.22541,9.786,0.44,0.24399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.5592,0.58,0.24555,NaN,0.57,0.22432,9.973,0.73,0.22487,10.413,0.48,0.24607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.6009,0.59,0.24555,13.12,0.57,0.22323,10.544,0.66,0.22432,10.99,0.5,0.24659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.6426,0.53,0.24451,12.425,0.58,0.22378,11.322,0.58,0.22432,11.442,0.4,0.24503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.6838,0.44,0.24295,12.024,0.48,0.2216,11.872,0.56,0.22323,11.224,0.31,0.24243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.7259,0.4,0.24243,11.169,0.48,0.21941,11.345,0.5,0.2216,10.528,0.2,0.23876,12.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.7676,0.35,0.24086,10.075,0.45,0.21776,10.535,0.43,0.22105,9.681,NaN,0.23718,11.215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.8093,0.35,0.23981,9.245,0.39,0.21665,9.805,0.37,0.21941,8.958,NaN,0.23506,10.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.8509,0.3,0.23929,8.571,0.33,0.215,9.198,0.39,0.21886,8.376,NaN,0.23293,9.383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.8926,0.32,0.23824,7.911,0.33,0.21389,8.627,0.33,0.21831,7.835,NaN,0.23133,8.619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.9343,0.28,0.23771,7.312,0.3,0.21333,8.09,0.35,0.21721,7.344,NaN,0.22972,7.975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,4.9759,0.25,0.23718,6.821,0.29,0.21277,7.632,0.31,0.21721,6.942,NaN,0.22865,7.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.0176,0.25,0.23665,6.393,0.29,0.21166,7.227,0.3,0.2161,6.598,NaN,0.22811,6.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.0593,0.26,0.23612,6,0.27,0.2111,6.863,0.28,0.21555,6.279,NaN,0.22703,6.547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.1009,0.25,0.23559,5.615,0.26,0.2111,6.52,0.26,0.215,5.969,NaN,0.22595,6.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.1426,0.2,0.23453,5.258,0.26,0.20998,6.197,0.25,0.21389,5.676,NaN,0.22541,5.773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.1843,0.21,0.23453,4.926,0.24,0.20998,5.898,0.25,0.21333,5.404,NaN,0.22487,5.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.2259,0.21,0.234,4.692,0.23,0.20942,5.644,0.26,0.21333,5.199,NaN,0.22432,5.131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.2676,0.25,0.234,4.53,0.26,0.20942,5.437,0.24,0.21277,5.061,NaN,0.22378,5.015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.3093,0.19,0.23347,4.485,0.24,0.20886,5.359,0.23,0.21222,4.976,NaN,0.22323,4.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.351,0.21,0.23347,4.528,0.25,0.20886,5.328,0.29,0.21166,5.043,NaN,0.22378,5.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.3926,0.32,0.234,5.294,0.25,0.20942,5.613,0.37,0.21222,5.688,0.19,0.22595,6.272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.4343,0.32,0.23453,7.494,0.29,0.21054,6.296,0.5,0.21277,7.09,0.33,0.22865,8.797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.4759,0.36,0.23665,10.413,0.41,0.21389,7.753,0.59,0.21389,8.76,0.4,0.23293,11.256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.5176,0.46,0.23771,12.02,0.51,0.215,9.262,0.58,0.21444,9.847,0.41,0.23718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.5592,0.58,0.23929,NaN,0.52,0.21333,10.141,0.65,0.21444,10.341,0.48,0.23929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.6009,0.61,0.23981,NaN,0.6,0.21222,10.7,0.57,0.215,10.975,0.52,0.23981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.6426,0.52,0.23824,12.467,0.51,0.21222,11.4,0.52,0.21444,11.293,0.34,0.23876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.6842,0.5,0.23718,11.91,0.48,0.20998,11.648,0.52,0.21389,10.933,0.26,0.23559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.7259,0.43,0.23559,11.203,0.43,0.20774,11.181,0.46,0.21222,10.363,0.15,0.23293,12.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.7671,0.36,0.23453,10.203,0.43,0.20549,10.479,0.43,0.21166,9.642,0.11,0.23026,11.384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.8088,0.32,0.234,9.329,0.37,0.20379,9.795,0.37,0.2111,8.948,NaN,0.22865,10.324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.8509,0.38,0.23293,8.616,0.35,0.20266,9.19,0.38,0.20998,8.357,NaN,0.22703,9.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.8926,0.32,0.2324,8.09,0.33,0.20209,8.704,0.37,0.20998,7.927,NaN,0.22541,8.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.9343,0.3,0.23187,7.696,0.32,0.20095,8.307,0.33,0.20886,7.605,NaN,0.22432,8.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,5.9759,0.34,0.23133,7.402,0.35,0.20038,7.994,0.34,0.2083,7.347,NaN,0.22378,8.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.0176,0.25,0.23026,7.009,0.3,0.19867,7.652,0.34,0.20774,7.031,NaN,0.22269,7.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.0593,0.28,0.23026,6.658,0.3,0.19867,7.327,0.33,0.20661,6.761,NaN,0.2216,7.356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.1009,0.24,0.22972,6.45,0.3,0.19809,7.097,0.33,0.20605,6.602,NaN,0.22105,7.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.1426,0.32,0.22919,6.175,0.27,0.19752,6.839,0.31,0.20549,6.385,NaN,0.2205,6.802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.1843,0.24,0.22865,6.054,0.28,0.19752,6.653,0.31,0.20549,6.255,NaN,0.21996,6.582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.2259,0.24,0.22811,5.843,0.3,0.19637,6.449,0.28,0.20492,6.092,NaN,0.21886,6.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.2676,0.23,0.22811,5.539,0.28,0.19637,6.216,0.32,0.20436,5.884,NaN,0.21831,6.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.3093,0.23,0.22703,5.323,0.26,0.19637,6.01,0.27,0.20379,5.715,NaN,0.21776,5.807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.3509,0.28,0.22703,5.414,0.28,0.1958,5.943,0.34,0.20322,5.731,0.12,0.21776,6.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.3926,0.29,0.22811,6.264,0.35,0.19637,6.261,0.4,0.20322,6.328,0.19,0.21941,7.078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.4343,0.36,0.22811,7.99,0.34,0.19809,6.938,0.51,0.20379,7.308,0.23,0.22269,8.848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.4759,0.4,0.22972,10.246,0.38,0.20095,8.046,0.61,0.20492,8.384,0.31,0.22649,11.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.5171,0.41,0.23133,11.722,0.46,0.20209,9.335,0.58,0.20549,9.232,0.48,0.22972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.5592,0.55,0.2324,NaN,0.51,0.20038,10.039,0.62,0.20492,9.776,0.41,0.23347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.6009,0.54,0.23293,13.038,0.52,0.19924,10.39,0.51,0.20549,10.372,0.4,0.234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.6426,0.5,0.23133,12.123,0.48,0.19867,10.867,0.5,0.20492,10.512,0.31,0.2324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.6842,0.41,0.22972,11.42,0.46,0.19637,11.019,0.42,0.20379,10.062,0.19,0.22919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.7259,0.38,0.22919,10.423,0.41,0.19349,10.349,0.41,0.20322,9.313,NaN,0.22649,11.673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.7676,0.33,0.22757,9.249,0.37,0.19175,9.498,0.33,0.20266,8.456,NaN,0.22378,10.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.8093,0.26,0.22703,8.247,0.33,0.19001,8.686,0.29,0.20152,7.651,NaN,0.2216,9.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.851,0.23,0.22541,7.455,0.29,0.18826,8.003,0.26,0.20038,7.002,NaN,0.21996,8.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,6.8926,0.21,0.22487,6.803,0.3,0.1871,7.419,0.25,0.20038,6.466,NaN,0.21886,7.556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
