Date10,Summer,Precip_daily
2021-03-08,S4,14
2021-03-22,S1,9.5
2021-03-22,S2,9.5
2021-03-22,S3,9.5
2021-03-22,S4,9.5
2021-03-29,S1,32.4
2021-03-29,S2,32.4
2021-03-29,S3,32.4
2021-03-29,S4,32.4
2021-04-12,S1,6.9
2021-04-12,S2,6.9
2021-04-12,S3,6.9
2021-04-12,S4,6.9
2021-05-03,S1,15
2021-05-03,S2,15
2021-05-03,S3,15
2021-05-03,S4,15
2021-07-05,S1,38
2021-07-05,S2,38
2021-07-05,S3,38
2021-07-05,S4,38
2021-07-08,S1,9.5
2021-07-08,S2,0
2021-07-08,S3,0
2021-07-08,S4,0
2021-07-12,S1,14.1
2021-07-12,S2,24.1
2021-07-12,S3,0
2021-07-12,S4,0
2021-07-15,S1,6.6
2021-07-15,S2,0
2021-07-15,S3,0
2021-07-15,S4,0
2021-07-19,S1,12.7
2021-07-19,S2,19.3
2021-07-19,S3,42.8
2021-07-19,S4,0
2021-07-22,S1,8.1
2021-07-22,S2,0
2021-07-22,S3,0
2021-07-22,S4,0
2021-07-26,S1,10.4
2021-07-26,S2,18.6
2021-07-26,S3,0
2021-07-26,S4,61.3
2021-07-29,S1,7
2021-07-29,S2,0
2021-07-29,S3,0
2021-07-29,S4,0
2021-08-02,S1,8.9
2021-08-02,S2,15.9
2021-08-02,S3,34.4
2021-08-02,S4,0
2021-08-05,S1,9.7
2021-08-05,S2,0
2021-08-05,S3,0
2021-08-05,S4,0
2021-08-09,S1,7.8
2021-08-09,S2,17.5
2021-08-09,S3,0
2021-08-09,S4,0
2021-08-12,S1,4.3
2021-08-12,S2,0
2021-08-12,S3,0
2021-08-12,S4,0
2021-08-16,S1,10.5
2021-08-16,S2,14.8
2021-08-16,S3,32.4
2021-08-16,S4,48.2
2021-08-19,S1,7
2021-08-19,S2,0
2021-08-19,S3,0
2021-08-19,S4,0
2021-08-23,S1,6.5
2021-08-23,S2,13.5
2021-08-23,S3,0
2021-08-23,S4,0
2021-08-26,S1,6.5
2021-08-26,S2,0
2021-08-26,S3,0
2021-08-26,S4,0
2021-08-30,S1,8.8
2021-08-30,S2,15.3
2021-08-30,S3,33.5
2021-08-30,S4,0
2021-09-02,S1,7
2021-09-02,S2,0
2021-09-02,S3,0
2021-09-02,S4,0
2021-09-06,S1,3.8
2021-09-06,S2,10.8
2021-09-06,S3,0
2021-09-06,S4,57.4
2021-09-09,S1,3.6
2021-09-09,S2,0
2021-09-09,S3,0
2021-09-09,S4,0
2021-09-13,S1,4.8
2021-09-13,S2,8.4
2021-09-13,S3,23.9
2021-09-13,S4,0
2021-09-16,S1,5
2021-09-16,S2,0
2021-09-16,S3,0
2021-09-16,S4,0
2021-09-20,S1,4.4
2021-09-20,S2,9.4
2021-09-20,S3,0
2021-09-20,S4,0
